temp_id,nmbr_f_,center_x,center_y,level
1644,0,121.675,23.18750089,1
1645,0,121.725,23.18750089,1
1646,0,119.125,23.22916756,1
1648,0,119.225,23.22916756,1
1649,0,119.275,23.22916756,1
1697,0,121.675,23.22916756,1
1698,0,121.725,23.22916756,1
1699,0,119.125,23.27083423,1
1700,0,119.175,23.27083423,1
1702,0,119.275,23.27083423,1
1704,0,119.375,23.27083423,1
1716,0,119.975,23.27083423,1
1750,0,121.675,23.27083423,1
1751,0,121.725,23.27083423,1
1752,0,119.075,23.31250089,1
1754,0,119.175,23.31250089,1
1755,0,119.225,23.31250089,1
1756,0,119.275,23.31250089,1
1765,0,119.725,23.31250089,1
1767,0,119.825,23.31250089,1
1768,0,119.875,23.31250089,1
1769,0,119.925,23.31250089,1
1770,0,119.975,23.31250089,1
1803,0,121.625,23.31250089,1
1804,0,121.675,23.31250089,1
1805,0,121.725,23.31250089,1
1808,0,119.175,23.35416756,1
1809,0,119.225,23.35416756,1
1821,0,119.825,23.35416756,1
1822,0,119.875,23.35416756,1
1824,0,119.975,23.35416756,1
1859,0,121.725,23.35416756,1
1860,0,119.075,23.39583423,1
1861,0,119.125,23.39583423,1
1862,0,119.175,23.39583423,1
1875,0,119.825,23.39583423,1
1876,0,119.875,23.39583423,1
1913,0,121.725,23.39583423,1
1914,0,119.075,23.4375009,1
1915,0,119.125,23.4375009,1
1916,0,119.175,23.4375009,1
1917,0,119.225,23.4375009,1
1918,0,119.275,23.4375009,1
1929,0,119.825,23.4375009,1
1931,0,119.925,23.4375009,1
1966,0,121.675,23.4375009,1
1967,0,121.725,23.4375009,1
1968,0,119.125,23.47916756,1
1970,0,119.225,23.47916756,1
1971,0,119.275,23.47916756,1
1972,0,119.325,23.47916756,1
1973,0,119.375,23.47916756,1
1983,0,119.875,23.47916756,1
1984,0,119.925,23.47916756,1
2020,0,121.725,23.47916756,1
2021,0,121.775,23.47916756,1
2022,0,119.125,23.52083423,1
2023,0,119.175,23.52083423,1
2024,0,119.225,23.52083423,1
2025,0,119.275,23.52083423,1
2026,0,119.325,23.52083423,1
2036,0,119.825,23.52083423,1
2038,0,119.925,23.52083423,1
2039,0,119.975,23.52083423,1
2075,0,121.775,23.52083423,1
2076,0,119.125,23.5625009,1
2077,0,119.175,23.5625009,1
2078,0,119.225,23.5625009,1
2090,0,119.825,23.5625009,1
2091,0,119.875,23.5625009,1
2092,0,119.925,23.5625009,1
2093,0,119.975,23.5625009,1
2129,0,121.775,23.5625009,1
2130,0,119.175,23.60416756,1
2131,0,119.225,23.60416756,1
2132,0,119.275,23.60416756,1
2134,0,119.375,23.60416756,1
2143,0,119.825,23.60416756,1
2144,0,119.875,23.60416756,1
2145,0,119.925,23.60416756,1
2146,0,119.975,23.60416756,1
2182,0,121.775,23.60416756,1
2183,0,119.175,23.64583423,1
2184,0,119.225,23.64583423,1
2185,0,119.275,23.64583423,1
2186,0,119.325,23.64583423,1
2187,0,119.375,23.64583423,1
2196,0,119.825,23.64583423,1
2198,0,119.925,23.64583423,1
2199,0,119.975,23.64583423,1
2235,0,121.775,23.64583423,1
2236,0,121.825,23.64583423,1
2237,0,119.225,23.6875009,1
2238,0,119.275,23.6875009,1
2239,0,119.325,23.6875009,1
2240,0,119.375,23.6875009,1
2249,0,119.825,23.6875009,1
2250,0,119.875,23.6875009,1
2251,0,119.925,23.6875009,1
2252,0,119.975,23.6875009,1
2289,0,121.825,23.6875009,1
2290,0,119.225,23.72916757,1
2291,0,119.275,23.72916757,1
2292,0,119.325,23.72916757,1
2293,0,119.375,23.72916757,1
2302,0,119.825,23.72916757,1
2303,0,119.875,23.72916757,1
2304,0,119.925,23.72916757,1
2305,0,119.975,23.72916757,1
2342,0,121.825,23.72916757,1
2343,0,119.275,23.77083423,1
2344,0,119.325,23.77083423,1
2345,0,119.375,23.77083423,1
2346,0,119.425,23.77083423,1
2354,0,119.825,23.77083423,1
2355,0,119.875,23.77083423,1
2356,0,119.925,23.77083423,1
2357,0,119.975,23.77083423,1
2393,0,121.775,23.77083423,1
2394,0,121.825,23.77083423,1
2395,0,121.875,23.77083423,1
2396,0,119.275,23.8125009,1
2397,0,119.325,23.8125009,1
2398,0,119.375,23.8125009,1
2399,0,119.425,23.8125009,1
2401,0,119.525,23.8125009,1
2402,0,119.575,23.8125009,1
2404,0,119.675,23.8125009,1
2406,0,119.775,23.8125009,1
2407,0,119.825,23.8125009,1
2408,0,119.875,23.8125009,1
2448,0,121.875,23.8125009,1
2449,0,119.325,23.85416757,1
2450,0,119.375,23.85416757,1
2451,0,119.425,23.85416757,1
2452,0,119.475,23.85416757,1
2453,0,119.525,23.85416757,1
2454,0,119.575,23.85416757,1
